"GSM_id","sample_description","filamentous","strain"
"GSM3186768","WT_rep1","norm","WT"
"GSM3186769","WT_rep2","norm","WT"
"GSM3186770","WT_rep3","norm","WT"
"GSM3186771","ste12_rep1","low","ste12"
"GSM3186772","ste12_rep2","low","ste12"
"GSM3186773","ste12_rep3","low","ste12"
"GSM3186774","dig1_rep1","high","dig1"
"GSM3186775","dig1_rep2","high","dig1"
"GSM3186776","dig1_rep3","high","dig1"
"GSM3186777","spt8_rep_1","low","spt8"
"GSM3186778","spt8_rep_2","low","spt8"
"GSM3186779","spt8_rep_3","low","spt8"
"GSM3186780","rim101-531_rep1","norm","rim101-531"
"GSM3186781","rim101-531_rep2","norm","rim101-531"
"GSM3186782","rim101-531_rep3","norm","rim101-531"
"GSM3186783","ras2_rep1","low","ras2"
"GSM3186784","ras2_rep2","low","ras2"
"GSM3186785","ras2_rep3","low","ras2"
"GSM3186786","rtg3_rep1","low","rtg3"
"GSM3186787","rtg3_rep2","low","rtg3"
"GSM3186788","rtg3_rep3","low","rtg3"
